id,prefecture_id,city_en,city_ja,special_district_ja
01100,01,Sapporo,札幌市,
01101,01,"Chūō-ku, Sapporo",札幌市,中央区
01102,01,"Kita-ku, Sapporo",札幌市,北区
01103,01,"Higashi-ku, Sapporo",札幌市,東区
01104,01,"Shiroishi-ku, Sapporo",札幌市,白石区
01105,01,"Toyohira-ku, Sapporo",札幌市,豊平区
01106,01,"Minami-ku, Sapporo",札幌市,南区
01107,01,"Nishi-ku, Sapporo",札幌市,西区
01108,01,"Atsubetsu-ku, Sapporo",札幌市,厚別区
01109,01,"Teine-ku, Sapporo",札幌市,手稲区
01110,01,"Kiyota-ku, Sapporo",札幌市,清田区
01202,01,Hakodate,函館市,
01203,01,Otaru,小樽市,
01204,01,Asahikawa,旭川市,
01205,01,Muroran,室蘭市,
01206,01,Kushiro,釧路市,
01207,01,Obihiro,帯広市,
01208,01,Kitami,北見市,
01209,01,"Yūbari, Hokkaido",夕張市,
01210,01,Iwamizawa,岩見沢市,
01211,01,Abashiri,網走市,
01212,01,"Rumoi, Hokkaido",留萌市,
01213,01,Tomakomai,苫小牧市,
01214,01,Wakkanai,稚内市,
01215,01,Bibai,美唄市,
01216,01,Ashibetsu,芦別市,
01217,01,Ebetsu,江別市,
01218,01,Akabira,赤平市,
01219,01,"Monbetsu, Hokkaido",紋別市,
01220,01,"Shibetsu, Hokkaido",士別市,
01221,01,Nayoro,名寄市,
01222,01,"Mikasa, Hokkaido",三笠市,
01223,01,"Nemuro, Hokkaido",根室市,
01224,01,"Chitose, Hokkaido",千歳市,
01225,01,"Takikawa, Hokkaido",滝川市,
01226,01,"Sunagawa, Hokkaido",砂川市,
01227,01,Utashinai,歌志内市,
01228,01,"Fukagawa, Hokkaido",深川市,
01229,01,"Furano, Hokkaido",富良野市,
01230,01,Noboribetsu,登別市,
01231,01,"Eniwa, Hokkaido",恵庭市,
01233,01,"Date, Hokkaido",伊達市,
01234,01,"Kitahiroshima, Hokkaido",北広島市,
01235,01,"Ishikari, Hokkaido",石狩市,
01236,01,"Hokuto, Hokkaido",北斗市,
01303,01,"Tōbetsu, Hokkaido",当別町,
01304,01,"Shinshinotsu, Hokkaido",新篠津村,
01331,01,"Matsumae, Hokkaido",松前町,
01332,01,"Fukushima, Hokkaido",福島町,
01333,01,"Shiriuchi, Hokkaido",知内町,
01334,01,"Kikonai, Hokkaido",木古内町,
01337,01,"Nanae, Hokkaido",七飯町,
01343,01,"Shikabe, Hokkaido",鹿部町,
01345,01,"Mori, Hokkaido",森町,
01346,01,"Yakumo, Hokkaido",八雲町,
01347,01,"Oshamambe, Hokkaido",長万部町,
01361,01,"Esashi, Hokkaido (Hiyama)",江差町,
01362,01,"Kaminokuni, Hokkaido",上ノ国町,
01363,01,"Assabu, Hokkaido",厚沢部町,
01364,01,"Otobe, Hokkaido",乙部町,
01367,01,"Okushiri, Hokkaido",奥尻町,
01370,01,"Imakane, Hokkaido",今金町,
01371,01,"Setana, Hokkaido",せたな町,
01391,01,"Shimamaki, Hokkaido",島牧村,
01392,01,"Suttsu, Hokkaido",寿都町,
01393,01,"Kuromatsunai, Hokkaido",黒松内町,
01394,01,"Rankoshi, Hokkaido",蘭越町,
01395,01,"Niseko, Hokkaido",ニセコ町,
01396,01,"Makkari, Hokkaido",真狩村,
01397,01,"Rusutsu, Hokkaido",留寿都村,
01398,01,"Kimobetsu, Hokkaido",喜茂別町,
01399,01,"Kyōgoku, Hokkaido",京極町,
01400,01,"Kutchan, Hokkaido",倶知安町,
01401,01,"Kyōwa, Hokkaido",共和町,
01402,01,"Iwanai, Hokkaido",岩内町,
01403,01,"Tomari, Hokkaido",泊村,
01404,01,"Kamoenai, Hokkaido",神恵内村,
01405,01,"Shakotan, Hokkaido",積丹町,
01406,01,"Furubira, Hokkaido",古平町,
01407,01,"Niki, Hokkaido",仁木町,
01408,01,"Yoichi, Hokkaido",余市町,
01409,01,"Akaigawa, Hokkaido",赤井川村,
01423,01,"Nanporo, Hokkaido",南幌町,
01424,01,"Naie, Hokkaido",奈井江町,
01425,01,"Kamisunagawa, Hokkaido",上砂川町,
01427,01,"Yuni, Hokkaido",由仁町,
01428,01,"Naganuma, Hokkaido",長沼町,
01429,01,"Kuriyama, Hokkaido",栗山町,
01430,01,"Tsukigata, Hokkaido",月形町,
01431,01,"Urausu, Hokkaido",浦臼町,
01432,01,"Shintotsukawa, Hokkaido",新十津川町,
01433,01,"Moseushi, Hokkaido",妹背牛町,
01434,01,"Chippubetsu, Hokkaido",秩父別町,
01436,01,"Uryū, Hokkaido",雨竜町,
01437,01,"Hokuryū, Hokkaido",北竜町,
01438,01,"Numata, Hokkaido",沼田町,
01452,01,"Takasu, Hokkaido",鷹栖町,
01453,01,"Higashikagura, Hokkaido",東神楽町,
01454,01,"Tōma, Hokkaido",当麻町,
01455,01,"Pippu, Hokkaido",比布町,
01456,01,"Aibetsu, Hokkaido",愛別町,
01457,01,"Kamikawa, Hokkaido",上川町,
01458,01,"Higashikawa, Hokkaido",東川町,
01459,01,"Biei, Hokkaido",美瑛町,
01460,01,"Kamifurano, Hokkaido",上富良野町,
01461,01,"Nakafurano, Hokkaido",中富良野町,
01462,01,"Minamifurano, Hokkaido",南富良野町,
01463,01,Shimukappu,占冠村,
01464,01,"Wassamu, Hokkaido",和寒町,
01465,01,"Kenbuchi, Hokkaido",剣淵町,
01468,01,"Shimokawa, Hokkaido",下川町,
01469,01,"Bifuka, Hokkaido",美深町,
01470,01,"Otoineppu, Hokkaido",音威子府村,
01471,01,"Nakagawa, Hokkaido",中川町,
01472,01,"Horokanai, Hokkaido",幌加内町,
01481,01,"Mashike, Hokkaido",増毛町,
01482,01,"Obira, Hokkaido",小平町,
01483,01,"Tomamae, Hokkaido",苫前町,
01484,01,"Haboro, Hokkaido",羽幌町,
01485,01,"Shosanbetsu, Hokkaido",初山別村,
